from,to,width
817,11,0.0521616
827,11,0.0102627
952,11,0.0129249
2733,11,0.0160546
40,13,0.374576
69,13,0.3975
98,13,0.0578262
113,13,0.0295194
609,13,0.0594053
729,13,0.0895476
3,15,0.119898
4,15,0.119898
8,15,0.151173
11,15,0.279426
24,15,0.0741034
33,15,0.0385105
37,15,0.058033
38,15,0.00455129
42,15,0.0263347
48,15,0.0744601
52,15,0.101604
53,15,0.104539
56,15,0.742823
57,15,0.0753541
75,15,0.00732366
76,15,0.00732366
77,15,1.25886
86,15,0.0125167
90,15,0.221815
98,15,0.028955
113,15,3.05875
115,15,0.085247
133,15,0.0379027
134,15,0.0403883
166,15,0.0755078
167,15,0.0048321
169,15,0.00812501
173,15,0.0205963
174,15,0.0206094
233,15,0.0492694
236,15,0.00620925
250,15,0.013386
251,15,0.010823
263,15,0.777761
264,15,0.0032034
281,15,0.00302727
285,15,0.00942562
292,15,0.00160077
300,15,0.190189
305,15,1.40914
306,15,0.23364
309,15,0.176821
310,15,0.950595
321,15,0.58037
322,15,0.561652
329,15,0.00367843
335,15,0.00544314
340,15,0.00539506
374,15,0.840505
408,15,0.327985
604,15,0.702825
612,15,2.26176
617,15,0.0498752
657,15,4.00215
680,15,0.0295972
690,15,0.661048
696,15,0.0307761
731,15,0.259126
733,15,3.04856
771,15,0.113163
793,15,0.0873006
817,15,0.603277
821,15,0.0168776
827,15,0.105602
862,15,0.440061
863,15,0.114267
864,15,0.00974904
886,15,0.0173097
922,15,0.0231442
934,15,0.0430588
952,15,0.0253724
960,15,0.0103614
965,15,0.0175901
973,15,0.00741439
1017,15,0.0187596
1020,15,0.0542828
1065,15,0.0173594
1085,15,0.00881924
1250,15,0.622122
1633,15,0.0127237
1637,15,0.104885
1682,15,0.0373864
1781,15,0.0647247
1816,15,0.958649
2003,15,0.0711741
2028,15,0.0571317
2031,15,0.0789429
2159,15,0.00489125
2219,15,0.0684122
2294,15,0.0137045
2443,15,0.00256809
2528,15,0.002514
2561,15,0.00254962
2644,15,0.145136
2712,15,0.100502
2732,15,0.314203
2733,15,0.127718
24,16,0.0986823
690,16,0.013892
1250,16,0.0302572
1816,16,0.0474312
3,17,0.00481146
4,17,0.00481146
5,17,0.416605
8,17,0.705082
15,17,0.0498782
24,17,0.404797
37,17,0.00831112
38,17,0.00455129
39,17,0.000538932
40,17,0.00502205
41,17,0.00532171
48,17,0.00923972
52,17,0.000383918
63,17,0.463301
68,17,0.000617177
73,17,0.000683467
75,17,0.000771164
76,17,0.000771164
85,17,0.324863
86,17,0.0282829
90,17,0.0559211
98,17,0.0578262
113,17,0.0295194
115,17,0.000458219
133,17,0.00299756
134,17,0.00319449
148,17,0.000456861
167,17,0.0048321
168,17,0.000295655
169,17,0.000213901
172,17,0.00084886
185,17,0.00126189
210,17,0.00133554
211,17,0.0014301
215,17,0.00100521
224,17,0.000456028
225,17,0.000336448
233,17,0.0120729
236,17,0.00735264
237,17,0.00076607
240,17,0.000786587
248,17,0.000439397
264,17,0.0032034
281,17,0.00302727
292,17,0.00160077
298,17,0.00421897
329,17,0.00367843
335,17,0.00544314
337,17,0.00203787
340,17,0.00539506
344,17,0.00148349
347,17,0.000412008
408,17,0.0164851
417,17,0.000632571
433,17,0.937643
444,17,0.00138495
448,17,0.0159153
453,17,0.0339558
462,17,0.000830113
500,17,0.090199
532,17,0.0112825
554,17,0.000439949
573,17,0.00316243
583,17,0.000487011
587,17,0.166914
600,17,0.0222965
609,17,0.0742014
617,17,0.713283
644,17,0.000827506
675,17,0.423188
680,17,0.0548965
688,17,0.0536192
690,17,0.61955
696,17,0.000405565
723,17,0.000614861
731,17,0.00754885
758,17,0.0143669
771,17,0.0630271
817,17,0.224772
821,17,0.000889007
827,17,0.0792992
863,17,0.0687175
897,17,0.0016615
903,17,0.000856063
922,17,0.00822842
937,17,0.00085049
948,17,0.106585
952,17,0.00328141
964,17,0.000752511
973,17,0.000585546
1017,17,0.000741178
1020,17,0.000716168
1032,17,0.000941305
1065,17,0.0180694
1081,17,0.000812183
1085,17,0.000812624
1094,17,0.000963637
1250,17,0.268515
1269,17,0.000638712
1574,17,0.00141473
1659,17,0.000673482
1781,17,0.0647247
1794,17,0.00526177
1816,17,0.418058
2001,17,0.000587389
2003,17,0.0711741
2063,17,0.000960384
2159,17,0.00489125
2219,17,0.00030108
2225,17,0.00321511
2255,17,0.00076372
2294,17,0.000270666
2443,17,0.00256809
2528,17,0.002514
2561,17,0.00254962
2644,17,0.77262
2712,17,0.0252207
2797,17,0.000477522
16,18,0.546318
19,18,3.00327
24,18,0.0247624
30,18,0.223603
16,19,0.546318
18,19,3.00327
24,19,0.0247624
30,19,0.223603
817,20,0.0447266
3,24,0.0697942
4,24,0.0697942
15,24,0.211383
48,24,0.0223965
75,24,0.00732366
76,24,0.00732366
86,24,0.00417397
113,24,0.190325
115,24,0.085247
133,24,0.0169743
134,24,0.0180886
233,24,0.00580903
236,24,0.00620925
250,24,0.013386
251,24,0.010823
657,24,0.0647704
680,24,2.51464
690,24,0.243492
771,24,0.146446
817,24,0.469954
827,24,0.0623294
863,24,0.249664
864,24,0.00974904
886,24,0.0173097
922,24,0.00694888
934,24,0.0430588
948,24,0.0505181
952,24,0.0156924
965,24,0.0175901
1017,24,0.0187596
1065,24,0.0173594
1250,24,0.429363
1781,24,0.0647247
1816,24,0.66537
2003,24,0.0711741
2028,24,0.00520732
2031,24,0.00880236
166,25,0.0755078
173,25,0.0205963
174,25,0.0206094
281,25,0.00907907
285,25,0.00942562
286,25,0.0568274
479,25,0.056107
619,25,0.325875
696,25,0.0369199
2028,25,0.0069425
2031,25,0.0117348
2219,25,0.0220952
2294,25,0.0198654
2305,25,0.501397
2306,25,0.802347
2828,25,0.0564439
98,26,0.028955
113,26,0.0147706
115,26,0.0116017
133,26,0.0174731
134,26,0.0186202
233,26,0.00871228
690,26,0.230162
817,26,0.316154
821,26,0.0168776
827,26,0.025637
863,26,0.114267
922,26,0.0162066
952,26,0.00646456
960,26,0.00558053
973,26,0.00741439
1017,26,0.0187596
1250,26,0.487706
1633,26,0.0127237
1637,26,0.104885
1816,26,0.754496
8,27,0.00971831
24,27,0.0247624
52,27,0.0581867
63,27,0.463301
690,27,0.0208307
817,27,0.0447266
1250,27,0.0453514
1682,27,0.0373864
1816,27,0.0710624
2028,27,0.0104119
24,28,0.0494635
31,28,2.06077
637,28,0.206533
3,29,0.050456
4,29,0.050456
8,29,0.0258945
11,29,0.279426
15,29,0.290519
37,29,0.058033
38,29,0.00455129
48,29,0.0521804
52,29,0.0581867
56,29,0.00893646
57,29,0.00810094
68,29,0.19738
86,29,0.0166854
90,29,1.08598
93,29,2.83469
98,29,0.028955
113,29,0.0147706
115,29,0.0116017
133,29,0.0279423
134,29,0.0297756
167,29,0.0048321
233,29,0.0434856
263,29,0.266281
264,29,0.0032034
281,29,0.00302727
292,29,0.00160077
300,29,0.190189
305,29,1.40914
306,29,0.23364
309,29,0.176821
310,29,0.950595
321,29,0.58037
322,29,0.561652
329,29,0.00367843
335,29,0.00544314
340,29,0.00539506
374,29,0.840505
408,29,0.327985
453,29,0.225314
578,29,0.212006
600,29,0.0222965
617,29,0.0747195
680,29,0.226066
688,29,0.344292
690,29,0.331015
731,29,0.259126
771,29,0.343223
817,29,0.473005
821,29,0.0168776
827,29,0.094529
863,29,0.114267
922,29,0.0162066
952,29,0.0161536
960,29,0.0103614
973,29,0.00741439
1017,29,0.0187596
1085,29,0.00881924
1250,29,0.565625
1633,29,0.0127237
1637,29,0.104885
1682,29,0.0373864
1816,29,0.873041
2028,29,0.0519514
2031,29,0.0702023
2159,29,0.00489125
2219,29,0.00326838
2294,29,0.0166387
2443,29,0.00256809
2500,29,0.246901
2528,29,0.002514
2561,29,0.00254962
2644,29,0.0800875
2712,29,0.0252207
2732,29,0.158355
2733,29,0.197266
18,30,1.63536
19,30,1.63536
433,30,0.0341672
604,30,3.05368
680,30,0.0253744
783,30,0.390713
28,31,1.24371
67,31,2.07167
817,32,0.0447266
3,33,0.119898
4,33,0.119898
6,33,1.81269
8,33,0.0335702
11,33,0.140703
13,33,0.0415176
15,33,0.0552222
17,33,0.00311419
24,33,0.075691
27,33,0.0203058
37,33,0.058033
38,33,0.00455129
40,33,0.0152592
42,33,0.00329886
48,33,0.0744601
52,33,0.0581867
62,33,0.00356159
69,33,0.0323967
75,33,0.00177593
76,33,0.00177593
86,33,0.0185019
88,33,0.00690236
90,33,0.139217
113,33,0.0147706
115,33,0.0823117
117,33,0.0181733
133,33,0.0291181
134,33,0.0310285
145,33,0.00533843
148,33,0.00138879
167,33,0.0048321
172,33,0.00258031
182,33,0.00232531
185,33,0.00383564
193,33,0.00232531
198,33,0.00768267
199,33,0.00484852
200,33,0.0103491
201,33,0.00459902
211,33,0.00434688
224,33,0.00138626
225,33,0.00102277
230,33,0.00493705
233,33,0.0072027
236,33,0.00620925
237,33,0.00232867
240,33,0.00239103
250,33,0.013386
251,33,0.010823
263,33,0.266281
264,33,0.0032034
281,33,0.00302727
287,33,0.568583
292,33,0.00160077
300,33,0.190189
305,33,1.40914
306,33,0.23364
309,33,0.176821
310,33,0.950595
321,33,0.58037
322,33,0.561652
329,33,0.00367843
335,33,0.00544314
340,33,0.00539506
402,33,0.00378358
408,33,0.171917
433,33,0.0376648
448,33,0.00287547
500,33,0.00239492
573,33,0.0096107
587,33,0.19996
617,33,0.0265288
655,33,0.00301445
675,33,0.505651
680,33,0.0775075
690,33,0.298378
714,33,1.15804
729,33,0.00562584
731,33,0.133426
736,33,0.00745542
758,33,0.00425474
771,33,0.0134521
817,33,0.520352
827,33,0.0213785
863,33,0.0458643
897,33,0.00789736
922,33,0.0108381
952,33,0.0269204
960,33,0.00687761
973,33,0.00177995
1017,33,0.0210084
1039,33,0.00473835
1065,33,0.0476692
1085,33,0.015146
1193,33,0.00670109
1250,33,0.569511
1265,33,0.00740466
1269,33,0.00194156
1299,33,0.00307645
1411,33,0.0161812
1574,33,0.00430015
1589,33,0.01998
1620,33,0.0443458
1633,33,0.00783165
1682,33,0.0373864
1777,33,0.0124223
1781,33,0.0647247
1816,33,0.876338
1829,33,0.0028165
1833,33,0.00140067
1959,33,0.00295815
2001,33,0.00178555
2003,33,0.0711741
2028,33,0.0571317
2031,33,0.0789429
2159,33,0.00489125
2443,33,0.00256809
2528,33,0.002514
2561,33,0.00254962
8,34,0.0388166
52,34,0.0291358
166,34,0.0755078
173,34,0.0205963
174,34,0.0206094
285,34,0.00942562
324,34,0.177065
325,34,0.251357
326,34,0.256499
447,34,1.00414
459,34,0.141842
479,34,0.0367724
619,34,0.102998
696,34,0.0384553
2028,34,0.0069425
2031,34,0.0117348
2305,34,0.378455
2306,34,0.564266
2712,34,0.0396039
2786,34,0.133844
2815,34,0.0260078
2828,34,0.0369934
8,35,0.000747898
15,35,0.0825296
26,35,0.00777967
29,35,0.0019531
45,35,0.00202065
63,35,0.463301
75,35,0.00225401
76,35,0.00225401
86,35,0.00224774
88,35,0.00258902
90,35,1.03585
93,35,2.83469
285,35,0.0985271
402,35,0.00232625
433,35,0.00131629
453,35,0.0771472
578,35,0.10479
587,35,0.492429
609,35,0.00229137
617,35,0.0249688
619,35,1.3493
655,35,0.00113056
662,35,0.951626
680,35,0.164748
688,35,0.140851
690,35,0.000801984
729,35,0.00345905
736,35,0.00458413
758,35,0.00159579
771,35,0.0765501
821,35,0.00259841
964,35,0.00219949
1085,35,0.00237518
1620,35,0.0426439
2644,35,0.84652
2733,35,0.0704478
2828,35,0.093896
5,36,0.416605
15,36,0.00247918
17,36,0.00452499
29,36,0.0046158
34,36,0.031869
35,36,0.0700498
45,36,0.00477543
52,36,0.00265222
90,36,0.221815
168,36,0.00204253
169,36,0.00147777
347,36,0.00284626
453,36,0.00618238
479,36,0.00852137
578,36,0.0780636
600,36,0.00811359
617,36,0.0995017
662,36,0.951626
680,36,0.027678
682,36,0.00622123
688,36,0.085168
740,36,0.00818666
771,36,0.00229888
2219,36,0.00208
2294,36,0.0018699
2797,36,0.00329878
2815,36,0.00946521
2828,36,0.00857265
3,37,1.36777
4,37,1.36777
10,37,0.0334645
11,37,0.0605453
38,37,0.710939
40,37,0.735121
41,37,0.777247
48,37,0.417064
115,37,0.0347648
133,37,0.0139809
134,37,0.0148989
233,37,0.00580903
690,37,0.0034748
817,37,0.00746836
827,37,0.0102627
952,37,0.0129249
2255,37,0.0578768
3,38,0.0349582
4,38,0.0349582
9,38,1.76621
10,38,0.133188
11,38,0.0605453
15,38,0.0136279
16,38,0.546318
20,38,0.012945
24,38,0.0247624
29,38,0.0253606
32,38,0.012945
33,38,0.0385105
34,38,0.031869
37,38,0.439057
45,38,0.0262367
48,38,4.68626
51,38,0.0169539
52,38,0.0436719
53,38,0.104539
54,38,0.292123
55,38,0.0537001
56,38,0.0312427
57,38,0.0283246
64,38,0.0998217
73,38,0.0259389
85,38,0.029288
86,38,0.0291812
90,38,0.0279997
98,38,0.028955
112,38,0.0351493
113,38,0.0147706
132,38,0.177228
133,38,0.0069929
134,38,0.00745223
140,38,0.0639243
168,38,0.0112287
169,38,0.0243552
184,38,0.034598
187,38,0.07615
189,38,0.0144744
234,38,0.108543
261,38,0.232881
263,38,0.0672456
296,38,0.0440936
298,38,0.159076
300,38,0.0478903
306,38,0.11751
309,38,0.088805
310,38,0.487164
321,38,0.177769
322,38,0.171918
347,38,0.0156444
360,38,0.0478006
362,38,0.0308166
374,38,0.429475
408,38,0.119336
433,38,0.0170982
550,38,0.608705
617,38,0.0124922
655,38,0.0146873
670,38,0.682807
680,38,0.0126953
690,38,0.0034748
731,38,0.0548
771,38,0.0126373
817,38,0.0521616
827,38,0.00513266
952,38,0.00646456
2027,38,0.0772197
2255,38,0.0578768
2294,38,0.0102801
8,39,0.0477361
11,39,0.318701
15,39,0.0116779
16,39,0.0295252
17,39,0.00658728
24,39,0.0933738
26,39,0.00777967
27,39,0.0203058
29,39,0.0019531
40,39,0.616465
41,39,1.02267
42,39,0.00697784
45,39,0.00202065
48,39,0.133629
52,39,0.38747
62,39,0.00603605
73,39,0.00225823
75,39,0.00557118
76,39,0.00557118
85,39,0.0025502
86,39,0.0199473
88,39,0.00856916
113,39,0.0147706
115,39,0.0116017
133,39,0.0134819
134,39,0.0143672
169,39,0.0162434
198,39,0.00665795
199,39,0.00688731
200,39,0.0089689
201,39,0.00653293
233,39,0.0637141
236,39,0.00620925
285,39,0.00942562
402,39,0.00769968
421,39,0.00307753
433,39,0.0668807
448,39,0.00608242
453,39,0.00440565
479,39,0.0312095
500,39,0.00260315
508,39,0.0873357
509,39,0.130717
578,39,0.00319049
609,39,0.00385884
617,39,0.0230287
619,39,0.137095
644,39,0.00273411
655,39,0.0050201
680,39,0.0159259
688,39,0.00206761
690,39,0.269648
696,39,2.8389
729,39,0.0114477
736,39,0.0151691
758,39,0.00708532
771,39,0.015088
817,39,0.511566
821,39,0.00259841
827,39,0.0419561
863,39,0.0458643
864,39,0.00205322
897,39,0.0112174
903,39,0.00282845
922,39,0.00694888
937,39,0.00281004
948,39,0.00264206
952,39,0.0124636
960,39,0.00775835
964,39,0.00468528
973,39,0.00193472
1017,39,0.0212039
1020,39,0.00236627
1032,39,0.00311006
1039,39,0.00673083
1065,39,0.0221541
1081,39,0.00268348
1085,39,0.0166739
1094,39,0.00318384
1193,39,0.00580726
1250,39,0.553495
1620,39,0.0426439
1633,39,0.00678707
1781,39,0.0647247
1816,39,0.854623
1833,39,0.0697939
2003,39,0.0711741
2614,39,0.0554015
2828,39,0.0313971
3,40,0.0697942
4,40,0.0697942
9,40,3.05376
11,40,0.239991
13,40,1.44454
38,40,0.162548
39,40,0.0408762
69,40,0.3975
98,40,0.0578262
113,40,0.0295194
433,40,0.0170982
609,40,0.0594053
617,40,0.0124922
729,40,0.0895476
817,40,0.0447266
3,41,0.0697942
4,41,0.0697942
9,41,3.54198
11,41,0.239991
38,41,0.162548
40,41,0.374576
433,41,0.0170982
617,41,0.0124922
731,41,0.0548
817,41,0.0447266
3,42,0.000921523
4,42,0.000921523
8,42,0.69604
15,42,0.0181664
24,42,0.380978
39,42,0.000538932
40,42,0.00502205
41,42,0.00532171
48,42,0.00176997
52,42,0.000383918
63,42,0.463301
68,42,0.000617177
73,42,0.000683467
75,42,0.000771164
76,42,0.000771164
85,42,0.324863
86,42,0.0282829
98,42,0.0578262
113,42,0.0295194
115,42,0.000458219
133,42,0.00299756
134,42,0.00319449
148,42,0.000456861
166,42,0.0755078
168,42,0.000295655
169,42,0.000213901
172,42,0.00084886
173,42,0.0205963
174,42,0.0206094
185,42,0.00126189
210,42,0.00133554
211,42,0.0014301
215,42,0.00100521
224,42,0.000456028
225,42,0.000336448
233,42,0.0120729
236,42,0.00735264
237,42,0.00076607
240,42,0.000786587
248,42,0.000439397
285,42,0.00942562
298,42,0.00421897
337,42,0.00203787
344,42,0.00148349
347,42,0.000412008
408,42,0.00315882
417,42,0.000632571
433,42,0.968607
444,42,0.00138495
448,42,0.0159153
453,42,0.0339558
462,42,0.000830113
479,42,0.056107
500,42,0.090199
532,42,0.00042868
554,42,0.000439949
573,42,0.00316243
583,42,0.000487011
609,42,0.133166
617,42,0.666733
619,42,0.325875
644,42,0.000827506
680,42,0.0506844
690,42,0.547553
696,42,0.037324
723,42,0.000614861
731,42,0.00144597
758,42,0.0143669
771,42,0.0336641
817,42,0.180854
821,42,0.000889007
827,42,0.0792992
863,42,0.0687175
897,42,0.0016615
903,42,0.000856063
922,42,0.00822842
937,42,0.00085049
948,42,0.106585
952,42,0.00328141
964,42,0.000752511
973,42,0.000585546
1017,42,0.000741178
1020,42,0.000716168
1032,42,0.000941305
1065,42,0.0180694
1081,42,0.000812183
1085,42,0.000812624
1094,42,0.000963637
1250,42,0.104965
1269,42,0.000638712
1574,42,0.00141473
1659,42,0.000673482
1781,42,0.0647247
1794,42,0.00526177
1816,42,0.164192
2001,42,0.000587389
2003,42,0.0711741
2028,42,0.0069425
2031,42,0.0117348
2063,42,0.000960384
2219,42,0.0185897
2225,42,0.00321511
2255,42,0.00076372
2294,42,0.0167134
2305,42,0.378455
2306,42,0.694882
2797,42,0.000477522
2828,42,0.0564439
63,43,0.905138
680,43,0.0253744
1411,43,0.0806447
3,45,0.050456
4,45,0.050456
8,45,0.0291266
11,45,0.279426
15,45,0.290519
29,45,0.00846068
37,45,0.058033
38,45,0.00455129
48,45,0.0521804
52,45,0.0581867
56,45,0.00893646
57,45,0.00810094
68,45,0.151291
86,45,0.0166854
90,45,1.08598
93,45,2.83469
98,45,0.028955
113,45,0.0147706
115,45,0.0116017
133,45,0.0279423
134,45,0.0297756
167,45,0.0048321
233,45,0.0434856
263,45,0.266281
264,45,0.0032034
281,45,0.00302727
292,45,0.00160077
300,45,0.190189
305,45,1.40914
306,45,0.23364
309,45,0.176821
310,45,0.950595
321,45,0.58037
322,45,0.561652
329,45,0.00367843
335,45,0.00544314
340,45,0.00539506
374,45,0.840505
408,45,0.327985
453,45,0.225314
578,45,0.212006
600,45,0.0222965
617,45,0.0747195
655,45,0.00489817
680,45,0.226066
688,45,0.344292
690,45,0.324292
723,45,0.00778545
731,45,0.259126
771,45,0.343223
817,45,0.473005
821,45,0.0168776
827,45,0.048654
863,45,0.0458643
922,45,0.0162066
952,45,0.0161536
960,45,0.0103614
973,45,0.00741439
1017,45,0.0187596
1085,45,0.00881924
1250,45,0.551319
1633,45,0.0127237
1637,45,0.104885
1682,45,0.0373864
1816,45,0.851318
2028,45,0.0519514
2030,45,0.0289473
2031,45,0.0702023
2159,45,0.00489125
2219,45,0.00326838
2294,45,0.0166387
2303,45,0.0927008
2443,45,0.00256809
2500,45,0.246901
2528,45,0.002514
2561,45,0.00254962
2644,45,0.0800875
2712,45,0.0252207
2732,45,0.158355
2733,45,0.197266
18,46,1.63536
19,46,1.63536
30,46,2.37665
510,46,1.04429
617,46,0.0249688
28,47,1.24371
67,47,2.07167
1,48,0.451449
2,48,0.451449
3,48,0.104508
4,48,0.104508
11,48,0.0605453
15,48,0.0136279
20,48,0.012945
32,48,0.012945
37,48,0.0745519
38,48,1.58086
40,48,0.556569
41,48,1.32027
51,48,0.00565451
52,48,0.0145785
54,48,0.292123
55,48,0.0537001
56,48,0.0312427
57,48,0.0283246
64,48,0.0998217
86,48,0.0291812
90,48,0.0279997
112,48,0.0351493
115,48,0.0347648
169,48,0.00812501
408,48,0.119336
433,48,0.0170982
550,48,0.608705
617,48,0.0124922
655,48,0.0146873
670,48,0.682807
731,48,0.0548
817,48,0.0447266
2255,48,0.0578768
2712,48,0.100502
113,49,0.0589517
233,51,0.0348036
827,51,0.0307565
3,52,0.104508
4,52,0.104508
8,52,0.0790007
11,52,0.120724
15,52,0.305237
16,52,0.0614824
17,52,0.3119
24,52,0.07224
26,52,0.00777967
27,52,0.0677731
29,52,0.00275903
30,52,0.0376192
33,52,0.00122484
37,52,0.0497632
38,52,0.081607
42,52,0.331448
45,52,0.00285445
48,52,0.0447428
56,52,0.00893646
57,52,0.00810094
62,52,0.357496
63,52,0.501335
73,52,0.311728
75,52,0.0131975
76,52,0.0131975
77,52,0.123857
85,52,0.329518
86,52,0.0371067
88,52,0.0172227
90,52,1.03665
93,52,2.83469
98,52,0.000920497
113,52,0.00323224
115,52,0.0874017
117,52,0.0390683
133,52,0.0503607
134,52,0.0331745
135,52,0.0971676
136,52,0.0971676
185,52,0.00152226
198,52,0.0109992
199,52,0.011378
200,52,0.0148159
201,52,0.0107927
211,52,0.00172518
224,52,0.000550127
225,52,0.000405873
233,52,0.0353551
236,52,0.00758856
237,52,0.00092414
240,52,0.000948891
248,52,0.000530064
250,52,0.013386
251,52,0.010823
261,52,0.232881
263,52,0.461329
300,52,0.190189
305,52,1.40914
306,52,0.23364
309,52,0.176821
310,52,0.950595
321,52,0.58037
322,52,0.561652
369,52,0.0527703
374,52,0.0139259
384,52,0.00449485
386,52,0.00991572
402,52,0.0121628
408,52,0.119336
421,52,0.00307753
433,52,0.0638096
448,52,0.273102
453,52,0.0839068
462,52,0.0010014
500,52,0.355048
508,52,0.184044
509,52,0.274792
532,52,0.000517136
554,52,0.00053073
578,52,0.112107
583,52,0.000587502
600,52,0.00141713
609,52,0.00825671
614,52,0.0181669
617,52,0.121696
644,52,0.370939
655,52,0.183019
657,52,0.00206268
659,52,0.0396937
680,52,0.195696
682,52,0.00108653
688,52,0.179478
690,52,0.438453
695,52,0.000792197
696,52,0.00048925
729,52,0.016656
731,52,0.1093
736,52,0.0220687
740,52,0.0014299
758,52,0.264081
771,52,0.34943
782,52,0.00426167
793,52,0.0622183
817,52,0.47811
821,52,0.00367058
827,52,0.204535
862,52,0.138777
863,52,0.188278
864,52,0.00657571
891,52,0.170688
897,52,0.0185289
903,52,0.346077
922,52,0.0243633
929,52,0.0413223
937,52,0.348999
945,52,0.46503
946,52,0.46503
948,52,0.346774
952,52,0.0287827
956,52,0.083255
960,52,0.0136575
964,52,0.339428
973,52,0.265878
1013,52,0.255572
1015,52,0.0413223
1017,52,0.341422
1019,52,0.0230149
1020,52,0.318458
1032,52,0.32954
1037,52,0.112993
1039,52,0.0111196
1065,52,0.0295933
1080,52,0.133737
1081,52,0.360377
1085,52,0.0285174
1094,52,0.264226
1193,52,0.00959409
1250,52,0.567797
1574,52,0.00170663
1620,52,0.12058
1633,52,0.0166073
1637,52,0.0203867
1682,52,0.0373864
1781,52,0.0647247
1816,52,0.876338
2003,52,0.0711741
2028,52,0.105351
2031,52,0.090585
2219,52,0.00326838
2294,52,0.00293826
2305,52,0.378455
2306,52,0.564266
2500,52,0.246901
2609,52,0.0264201
2644,52,0.847582
2671,52,0.0151726
2674,52,0.0264201
2686,52,0.0122026
2712,52,0.0268198
2731,52,0.00228133
2732,52,0.00253337
2733,52,0.198266
2797,52,0.000576056
2843,52,0.0264201
2872,52,0.00387599
3,53,0.0233191
4,53,0.0233191
8,53,0.0129557
11,53,0.100705
37,53,0.0249126
48,53,0.0223965
52,53,0.0177302
263,53,0.266281
264,53,0.00623725
281,53,0.00589437
292,53,0.00311705
296,53,0.00955726
300,53,0.190189
305,53,1.47944
306,53,0.23364
309,53,0.186297
310,53,0.950595
321,53,0.58037
322,53,0.578865
329,53,0.00716202
335,53,0.0105971
344,53,0.0121911
408,53,0.0797167
731,53,0.0911663
1682,53,0.0373864
1833,53,0.00378792
2028,53,0.0519514
2031,53,0.0702023
2255,53,0.00627774
2358,53,0.0102982
2443,53,0.00500041
2528,53,0.0048951
2561,53,0.00496444
2797,53,0.00392562
2868,53,0.00965912
55,54,0.00307638
56,54,0.896032
57,54,0.00162071
75,54,0.00167445
76,54,0.00167445
133,54,0.00119913
134,54,0.00127792
170,54,0.201884
173,54,0.0821309
174,54,0.0821829
182,54,0.00166099
184,54,0.00198026
185,54,0.0027399
186,54,0.00312547
193,54,0.00166099
224,54,0.104418
225,54,0.000730559
237,54,0.00166339
238,54,0.00129274
240,54,0.00170794
462,54,0.00180244
543,54,0.0873357
614,54,0.0967889
749,54,0.00716644
